,Mission name,Organisation,Nation,Type (U/mass),Launch date,Status,Mission description,Photo
180,Prometheus 1-8,USSOCOM (US Special Operations Command),US,1.5U,2013-11-20,"Reentered, Operational",Demonstrate CubeSat platform methodologies and communications for remote field units.,
181,SENSE SV1 (Space Environmental NanoSat Experiment),US Air Force Space Command,US,3U,2013-11-20,"Reentered, Was operational",Demonstrate CubeSat platform technologies. and radio occultation measurements of total electron content and L-band scintillation.,
182,SENSE SV2 (Space Environmental NanoSat Experiment),US Air Force Space Command,US,3U,2013-11-20,"Reentered, Was semi-operational",Demonstrate CubeSat platform technologies. and radio occultation measurements of total electron content and L-band scintillation.,
183,SwampSat,University of Florida,US,1U,2013-11-20,"Reentered, No signal",Demonstrate on orbit precision three axis attitude control using a pyramidal configuration of control moment gyroscopes.,
184,TJ3sat,Thomas Jefferson High School for Science and Technology,US,1U,2013-11-20,"Reentered, No signal",Educational space systems engineering.,
185,Trailblazer (SPA-1 Trailblazer),University of New Mexico,US,1U,2013-11-20,"Reentered, No signal",Proof-of-concept flight for Space Plug-and-play Architecture.,
186,Vermont Lunar CubeSat,Vermont Technical College/ University of Vermont,US,1U,2013-11-20,"Reentered, Operational",Demonstrate CubeSat platform technologies for Moon mission.,
187,"$50Sat (50-Dollarsat, Eagle 2, Morehead-OSCAR-76)",Morehead State University,US,PocketQube 1.5p,2013-11-21,"Reentered, Was operational",Demonstrate very low cost satellites with PocketQube.,
188,BRITE-PL-1 Lem (CanX 3C),The Space Research Centre of the Polish Academy of Sciences,Poland,6 kg,2013-11-21,Operational,"Investigation of the brightness oscillations of massive luminous stars, BRITE constellation.",
189,"CINEMA 2 (TRIO 2, KHUSAT 1)",Kyung Hee University,South Korea,3U,2013-11-21,Was semi-operational,Space weather measurements measuring electron and ions in the range of 2-200 keV.,
190,"CINEMA 3 (TRIO 3, KHUSAT 2)",Kyung Hee University,South Korea,3U,2013-11-21,No signal,Space weather measurements measuring electron and ions in the range of 2-200 keV.,
191,CubeBug-2 (Manolito),Satellogic,Argentina,2U,2013-11-21,Operational,Demonstrate CubeSat platform technologies including reaction wheels and star tracker.,
192,Delfi-n3Xt,Delft University of Technology,Netherlands,3U,2013-11-21,"Semi-operational, ?, Was operational","Education, technology demonstration, CubeSat bus advancement and cold gas miccropropulsion.",
193,Dove-3 (Dove 0711),Planet Labs,US,3U,2013-11-21,"Operational, Retired",Constellation for optical Earth observation with 3-5m resolution.,
194,Dove-4,Planet Labs,US,3U,2013-11-21,Deployment failure,Constellation for optical Earth observation with 3-5m resolution.,
195,FUNcube-1 (AO-73),AMSAT-UK,UK,1U,2013-11-21,Operational,Educational and amateur radio mission linear transponder.,
196,"GOMX-1 (GATOSS, Global Air Traffic Awareness and Optimizing through Spaceborne Surveillance)",GomSpace,Denmark,2U,2013-11-21,Operational,Demonstrate receiving ADS-B signals emitted by aircraft and camera.,
197,HiNCube,Narvik University College,Norway,1U,2013-11-21,No signal,Educational training and demonstrate CubeSat platform technologies plus camera.,
198,HumSat-D,University of Vigo,Spain,1U,2013-11-21,Was operational,Educational training and demonstrate IoT solution.,
199,ICUBE 1,Islamabad Institute of Science and Technology,Pakistan,1U,2013-11-21,"Was operational, ?",Educational space systems engineering and imaging payload.,
200,"MOVE (First-MOVE, Munich Orbital Verification Experiment)",Technical University of München,Germany,1U,2013-11-21,Was operational,Educational training and CubeSat platform development and testing solar cells.,
201,NEE-02 Krysaor,EXA (Ecuador Space Agency),Ecuador,1U,2013-11-21,Was operational,Educational training and demonstration of CubeSat platform technologies.,
202,OPTOS (Optical Nanosatellite),National Institute of Aerospace Technology,Spain,3U,2013-11-21,"Was operational, ?",Demonstrate CubeSat platform technologies.,
203,Pocket-PUCP (PUCP-Pocket),Pontifical Catholic University of Peru,Peru,0.127 kg,2013-11-21,"Unknown, ?",Transmit temperature measurements.,
204,PUCPSat-1,Pontifical Catholic University of Peru,Peru,1U,2013-11-21,"Was operational, ?",Deploy PUCP-Pocket and test ADCS system with custom micro wheels and research thermal design for future satellites.,
205,QubeScout 1 (QBscout),Maryland State University,US,PocketQube 2.5p,2013-11-21,"Was operational, ?",Test a micro sun-sensor that can be used to find and point instruments toward the sun.,
206,"T-LogoQube (BeakerSat 1, MagPocketQube, Eagle-1)",Sonoma State University,US,PocketQube 2.5p,2013-11-21,"Was operational, Reentered, ?",Simple attitude determination experiments based on magnetic field.,
207,Triton-1,ISISpace,Netherlands,3U,2013-11-21,Operational,Demonstrate AIS payload for ocean traffic monitoring.,
208,UWE-3,University of Würzburg,Germany,1U,2013-11-21,Operational,Demonstrate modular CubeSat platform technologies and real-time attitude control.,
209,"VELOX-P2 (VELOX-PII, VELOX-P)",Nanyang Technological University,Singapore,1U,2013-11-21,"Was operational, ?",Educational training and demonstrate CubeSat platform technologies.,
210,WNISAT 1 (Weather News Inc. Satellite 1),Weather News Inc.,Japan,10 kg,2013-11-21,Operational,Observation of sea ice in the Arctic waters.,
211,Wren,STADOKO UG,Germany,PocketQube 1p,2013-11-21,Was operational,Advanced PocketQube with cameras and reaction wheels.,
212,ZACUBE-1 (TshepisoSat),Cape Peninsula University of Technology,South Africa,1U,2013-11-21,Operational,Educational training and demonstration of multiple payloads for Earth imaging and S-band transmitter.,
213,AeroCube-5A,The Aerospace Corporation,US,1.5U,2013-12-06,"Operational, ?",Demonstrate new technologies for pointing and tracking between two identical CubeSats and to demonstrate a deorbit device.,
214,AeroCube-5B,The Aerospace Corporation,US,1.5U,2013-12-06,"Operational, ?",Demonstrate new technologies for pointing and tracking between two identical CubeSats and to demonstrate a deorbit device.,
215,ALICE (AFIT LEO iMESA CNT Experiment),Air Force Institute of Technology,US,3U,2013-12-06,Was operational,Demonstration of new small satellite propulsion based on carbon nanotube array.,
216,CUNYSAT 1,City University of New York (CUNY),US,1U,2013-12-06,No signal,Educational training and demonstrate CubeSat platform technologies.,
217,"FIREBIRD A (FU1, Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",Montana State University/ University of New Hampshire,US,1.5U,2013-12-06,Was operational,Space weather mission to study electron microbursts in Van Allen belts.,
218,"FIREBIRD B (FU2, Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",Montana State University/ University of New Hampshire,US,1.5U,2013-12-06,Was operational,Space weather mission to study electron microbursts in Van Allen belts.,
219,"IPEX (CP8, Intelligent Payload Experiment)",California Polytechnic State University,US,1U,2013-12-06,Was operational,Validate onboard instrument processing and autonomous payload operations for the NASA HyspIRI mission.,
220,M-Cubed 2 (MCUBED-2),University of Michigan,US,1U,2013-12-06,Operational,Flight evaluation of a NASA JPL image processing FPGA called COVE.,
221,"SMDC-ONE 2.3 (Charlie, SMDC-ONE 3.1)",US Army Space and Missile Defense Command,US,3U,2013-12-06,"Was operational, Retired",Demonstrate the ability to rapidly design and develop militarily relevant low cost spacecraft and communications relay.,
222,"SMDC-ONE 2.4 (David, SMDC-ONE 3.2)",US Army Space and Missile Defense Command,US,3U,2013-12-06,"Was operational, Retired",Demonstrate the ability to rapidly design and develop militarily relevant low cost spacecraft and communications relay.,
223,"SNaP-1 (SNAP, SNAP-3)",US Army Space and Missile Defense Command,US,3U,2013-12-06,Was semi-operational,Related to the SMDC NAnosatellite Program (SNaP) - Joint Capabilities Technology Demonstrations.,
224,TacSat-6,Space & Missile Defense Command,US,3U,2013-12-06,Unknown,The mission will demonstrate nanosatellite communication capabilities.,
225,ArduSat 2,Spire,US,2U,2014-01-09,"Reentered, No signal",Platform for students and space enthusiasts to run space-based Arduino experiments.,
226,Flock-1 Dove-1,Planet Labs,US,3U,2014-01-09,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
227,Flock-1 Dove-2,Planet Labs,US,3U,2014-01-09,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
228,Flock-1 Dove-3,Planet Labs,US,3U,2014-01-09,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
229,Flock-1 Dove-4,Planet Labs,US,3U,2014-01-09,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
230,Flock-1 Dove-5,Planet Labs,US,3U,2014-01-09,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
231,Flock-1 Dove-6,Planet Labs,US,3U,2014-01-09,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
232,Flock-1 Dove-7,Planet Labs,US,3U,2014-01-09,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
233,Flock-1 Dove-8,Planet Labs,US,3U,2014-01-09,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
234,Flock-1 Dove-9,Planet Labs,US,3U,2014-01-09,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
235,Flock-1 Dove-10,Planet Labs,US,3U,2014-01-09,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
236,Flock-1 Dove-11,Planet Labs,US,3U,2014-01-09,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
237,Flock-1 Dove-12,Planet Labs,US,3U,2014-01-09,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
238,Flock-1 Dove-13,Planet Labs,US,3U,2014-01-09,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
239,Flock-1 Dove-14,Planet Labs,US,3U,2014-01-09,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
240,Flock-1 Dove-15,Planet Labs,US,3U,2014-01-09,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
241,Flock-1 Dove-16,Planet Labs,US,3U,2014-01-09,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
242,Flock-1 Dove-17,Planet Labs,US,3U,2014-01-09,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
243,Flock-1 Dove-18,Planet Labs,US,3U,2014-01-09,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
244,Flock-1 Dove-19,Planet Labs,US,3U,2014-01-09,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
245,Flock-1 Dove-20,Planet Labs,US,3U,2014-01-09,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
246,Flock-1 Dove-21,Planet Labs,US,3U,2014-01-09,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
247,Flock-1 Dove-22,Planet Labs,US,3U,2014-01-09,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
248,Flock-1 Dove-23,Planet Labs,US,3U,2014-01-09,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
249,Flock-1 Dove-24,Planet Labs,US,3U,2014-01-09,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
250,Flock-1 Dove-25,Planet Labs,US,3U,2014-01-09,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
251,Flock-1 Dove-26,Planet Labs,US,3U,2014-01-09,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
252,Flock-1 Dove-27,Planet Labs,US,3U,2014-01-09,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
253,Flock-1 Dove-28,Planet Labs,US,3U,2014-01-09,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
254,LitSat-1,Kaunas University of Technology,Lithuania,1U,2014-01-09,"Reentered, Operational",Scientific platform for the future scientific experiments with piezo motors in space.,
255,LituanicaSAT-1 (LO-78),Kaunas University of Technology,Lithuania,1U,2014-01-09,"Reentered, Operational",Educational training and demonstrate CubeSat platform technologies.,
256,SkyCube,Southern Stars,US,1U,2014-01-09,"Reentered, Was semi-operational",Crowdfunded on Kickstarter. Payloads are camera and tweets names from space.,
257,UAPSAT-1,Alas Peruanas University,Peru,1U,2014-01-09,"Reentered, Was operational",Educational training and CubeSat platform technologies to study meteorological phenomena from space.,
258,Chasqui-I,Peru National University of Engineering,Peru,1U,2014-02-05,"Reentered, No signal",Educational training and CubeSat platform technologies including camera.,
259,ARTSAT1: Invader (INteractiVe satellite for Art and Design Experimental Research),Tama Art University,Japan,1U,2014-02-27,"Reentered, Operational",Artistic use of satellite telemetry.,
260,"ITF-1 (YUI, Imagine The Future-1, IFT)",University of Tsukuba,Japan,1U,2014-02-27,"Reentered, No signal",Demonstrate networking technologies with CubeSats.,
261,"KSAT2 (Hayato, KSAT-2)",Kagoshima University,Japan,1U,2014-02-27,"Reentered, Operational",Measuring atmospheric water vapour and Ku-band transmitter.,
262,Opusat (CosMoz),Osaka Prefecture University,Japan,1U,2014-02-27,"Reentered, Operational",Demonstrating performance of lithium ion capacitors and MPPT-based power storage.,
263,"STARS-II (Gennai, Daughter)",Kagawa University,Japan,4 kg,2014-02-27,"Reentered, Operational",Electrodynamic tether deployment experiment.,
264,"STARS-II (Gennai, Mother)",Kagawa University,Japan,5 kg,2014-02-27,"Reentered, Operational",Electrodynamic tether deployment experiment.,
265,ALL-STAR/THEIA (Agile Low-cost Laboratory for Space Technology Acceleration and Research),University of Colorado at Boulder,US,3U,2014-04-18,"Reentered, Semi-operational",Demonstrate modular CubeSat platform and camera payload.,
